iter	Passed	Remaining
0	144	143955
1	152	75852
2	156	51937
3	160	40023
4	166	33091
5	169	28157
6	174	24687
7	181	22499
8	186	20501
9	189	18787
10	193	17373
11	196	16210
12	198	15085
13	201	14185
14	203	13353
15	206	12681
16	208	12043
17	210	11495
18	212	10963
19	213	10472
20	215	10028
21	216	9616
22	217	9243
23	219	8930
24	221	8640
25	223	8385
26	225	8139
27	227	7889
28	228	7652
29	229	7431
30	231	7227
31	232	7044
32	235	6896
33	237	6760
34	240	6629
35	241	6469
36	242	6321
37	244	6179
38	245	6046
39	246	5923
40	249	5831
41	251	5740
42	253	5632
43	254	5524
44	255	5420
45	256	5323
46	257	5231
47	259	5144
48	261	5068
49	263	5012
50	265	4944
51	267	4876
52	268	4804
53	270	4732
54	271	4664
55	272	4597
56	274	4536
57	275	4474
58	276	4415
59	279	4371
60	280	4317
61	282	4266
62	283	4223
63	285	4171
64	286	4120
65	287	4072
66	289	4024
67	290	3977
68	291	3932
69	293	3896
70	295	3860
71	296	3825
72	298	3784
73	299	3744
74	300	3707
75	302	3674
76	303	3638
77	304	3601
78	305	3567
79	308	3543
80	309	3517
81	311	3485
82	312	3448
83	313	3417
84	314	3386
85	316	3364
86	317	3336
87	319	3307
88	320	3279
89	322	3257
90	323	3235
91	325	3211
92	326	3185
93	327	3158
94	329	3135
95	330	3110
96	331	3086
97	332	3062
98	333	3039
99	335	3016
100	336	2999
101	339	2985
102	341	2969
103	342	2950
104	343	2929
105	344	2909
106	346	2891
107	347	2872
108	348	2852
109	350	2832
110	352	2822
111	354	2809
112	355	2793
113	357	2778
114	358	2760
115	359	2742
116	361	2725
117	362	2709
118	363	2692
119	364	2675
120	366	2660
121	367	2647
122	369	2636
123	370	2620
124	372	2604
125	373	2589
126	374	2572
127	375	2559
128	377	2546
129	378	2531
130	379	2516
131	380	2503
132	382	2495
133	384	2485
134	386	2473
135	387	2460
136	388	2447
137	389	2434
138	390	2421
139	392	2408
140	393	2395
141	394	2381
142	395	2369
143	396	2358
144	399	2354
145	401	2345
